movie_title;actor_1;actor_2;actor_3;actor_4;actor_5;actor_6;actor_7;actor_8;actor_9;actor_10
Avatar;Sam Worthington;Zoe Saldana;Sigourney Weaver;Stephen Lang;Michelle Rodriguez;Giovanni Ribisi;Joel David Moore;CCH Pounder;Wes Studi;Laz Alonso
Pirates of the Caribbean: At World's End;Johnny Depp;Orlando Bloom;Keira Knightley;Chow Yun-fat;Bill Nighy;Geoffrey Rush;Jack Davenport;Kevin McNally;Tom Hollander;Naomie Harris
Spectre;Daniel Craig;Christoph Waltz;Ralph Fiennes;Monica Bellucci;Ben Whishaw;Naomie Harris;Dave Bautista;Andrew Scott;Rory Kinnear;Jesper Christensen
The Dark Knight Rises;Christian Bale;Michael Caine;Gary Oldman;Anne Hathaway;Tom Hardy;Marion Cotillard;Joseph Gordon-Levitt;Morgan Freeman;Cillian Murphy;Juno Temple
John Carter;Taylor Kitsch;Lynn Collins;Samantha Morton;Willem Dafoe;Thomas Haden Church;Mark Strong;Dominic West;James Purefoy;Bryan Cranston;Polly Walker
Spider-Man 3;Tobey Maguire;Kirsten Dunst;James Franco;Thomas Haden Church;Topher Grace;Bryce Dallas Howard;Rosemary Harris;James Cromwell;J.K. Simmons;Theresa Russell
Tangled;Zachary Levi;Mandy Moore;Donna Murphy;Ron Perlman;M.C. Gainey;Jeffrey Tambor;Brad Garrett;Paul F. Tompkins;Richard Kiel;Delaney Rose Stein
Avengers: Age of Ultron;Robert Downey Jr.;Chris Hemsworth;Mark Ruffalo;Chris Evans;Scarlett Johansson;Jeremy Renner;James Spader;Samuel L. Jackson;Don Cheadle;Aaron Taylor-Johnson
Harry Potter and the Half-Blood Prince;Daniel Radcliffe;Rupert Grint;Emma Watson;Tom Felton;Michael Gambon;Jim Broadbent;Helena Bonham Carter;Robbie Coltrane;Maggie Smith;Alan Rickman
Batman v Superman: Dawn of Justice;Ben Affleck;Henry Cavill;Gal Gadot;Amy Adams;Jesse Eisenberg;Diane Lane;Jeremy Irons;Laurence Fishburne;Holly Hunter;Scoot McNairy
Superman Returns;Brandon Routh;Kevin Spacey;Kate Bosworth;James Marsden;Parker Posey;Frank Langella;Sam Huntington;Eva Marie Saint;Marlon Brando;Kal Penn
Quantum of Solace;Daniel Craig;Olga Kurylenko;Mathieu Amalric;Judi Dench;Giancarlo Giannini;Gemma Arterton;Jeffrey Wright;David Harbour;Jesper Christensen;Anatole Taubman
Pirates of the Caribbean: Dead Man's Chest;Johnny Depp;Orlando Bloom;Keira Knightley;Bill Nighy;Jack Davenport;Kevin McNally;Jonathan Pryce;Lee Arenberg;Mackenzie Crook;Tom Hollander
The Lone Ranger;Johnny Depp;Armie Hammer;William Fichtner;Helena Bonham Carter;James Badge Dale;Tom Wilkinson;Ruth Wilson;Barry Pepper;James Frain;Mason Cook
Man of Steel;Henry Cavill;Amy Adams;Michael Shannon;Kevin Costner;Diane Lane;Russell Crowe;Laurence Fishburne;Antje Traue;Christopher Meloni;Jadin Gould
The Chronicles of Narnia: Prince Caspian;Ben Barnes;William Moseley;Anna Popplewell;Skandar Keynes;Georgie Henley;Sergio Castellitto;Alicia Borrachero;Peter Dinklage;Warwick Davis;Vincent Grass
The Avengers;Robert Downey Jr.;Chris Evans;Mark Ruffalo;Chris Hemsworth;Scarlett Johansson;Jeremy Renner;Tom Hiddleston;Clark Gregg;Cobie Smulders;Samuel L. Jackson
Pirates of the Caribbean: On Stranger Tides;Johnny Depp;Ian McShane;Kevin McNally;Geoffrey Rush;Sam Claflin;Stephen Graham;Greg Ellis;Damian O'Hare;Richard Griffiths;Keith Richards
Men in Black 3;Will Smith;Tommy Lee Jones;Josh Brolin;Michael Stuhlbarg;Emma Thompson;Jemaine Clement;Nicole Scherzinger;Alice Eve;Bill Hader;Michael Chernus
The Hobbit: The Battle of the Five Armies;Martin Freeman;Ian McKellen;Richard Armitage;Ken Stott;Graham McTavish;William Kircher;James Nesbitt;Stephen Hunter;Dean O'Gorman;Aidan Turner
The Amazing Spider-Man;Andrew Garfield;Emma Stone;Rhys Ifans;Denis Leary;Campbell Scott;Irrfan Khan;Martin Sheen;Sally Field;Max Charles;Chris Zylka
Robin Hood;;;;;;;;;;
The Hobbit: The Desolation of Smaug;Martin Freeman;Ian McKellen;Richard Armitage;Ken Stott;Graham McTavish;William Kircher;James Nesbitt;Stephen Hunter;Dean O'Gorman;Aidan Turner
The Golden Compass;Dakota Blue Richards;Nicole Kidman;Daniel Craig;Sam Elliott;Eva Green;Freddie Highmore;Ian McKellen;Ben Walker;Ian McShane;Kristin Scott Thomas
King Kong;Naomi Watts;Jack Black;Adrien Brody;Thomas Kretschmann;Colin Hanks;Andy Serkis;Evan Parke;Jamie Bell;Lobo Chan;John Sumner
Titanic;Kate Winslet;Leonardo DiCaprio;Frances Fisher;Billy Zane;Kathy Bates;Gloria Stuart;Bill Paxton;Bernard Hill;David Warner;Victor Garber
Captain America: Civil War;Chris Evans;Robert Downey Jr.;Scarlett Johansson;Sebastian Stan;Anthony Mackie;Don Cheadle;Jeremy Renner;Chadwick Boseman;Paul Bettany;Elizabeth Olsen
Battleship;Taylor Kitsch;Rihanna;Brooklyn Decker;Tadanobu Asano;Liam Neeson;Gregory D. Gadson;Hamish Linklater;Jesse Plemons;John Tui;Jerry Ferrara
Jurassic World;Chris Pratt;Bryce Dallas Howard;Irrfan Khan;Vincent D'Onofrio;Nick Robinson;Ty Simpkins;Jake Johnson;Omar Sy;BD Wong;Judy Greer
Skyfall;Daniel Craig;Judi Dench;Javier Bardem;Ralph Fiennes;Naomie Harris;Albert Finney;Ben Whishaw;Rory Kinnear;Ola Rapace;Helen McCrory
Spider-Man 2;Tobey Maguire;Kirsten Dunst;James Franco;Alfred Molina;Rosemary Harris;Donna Murphy;J.K. Simmons;Daniel Gillies;Dylan Baker;Willem Dafoe
Iron Man 3;Robert Downey Jr.;Gwyneth Paltrow;Don Cheadle;Guy Pearce;Rebecca Hall;Jon Favreau;Ben Kingsley;James Badge Dale;Stephanie Szostak;Paul Bettany
Alice in Wonderland;Mia Wasikowska;Johnny Depp;Anne Hathaway;Helena Bonham Carter;Crispin Glover;Marton Csokas;Lindsay Duncan;Matt Lucas;Geraldine James;Tim Pigott-Smith
X-Men: The Last Stand;Hugh Jackman;Halle Berry;Ian McKellen;Patrick Stewart;Famke Janssen;Anna Paquin;Kelsey Grammer;Shawn Ashmore;Aaron Stanford;Ellen Page
Monsters University;Billy Crystal;John Goodman;Steve Buscemi;Helen Mirren;Noah Johnston;Peter Sohn;Joel Murray;Sean Hayes;Dave Foley;Charlie Day
Transformers: Revenge of the Fallen;Shia LaBeouf;Megan Fox;Josh Duhamel;Rainn Wilson;Tyrese Gibson;John Turturro;Kevin Dunn;Julie White;Isabel Lucas;Glenn Morshower
Transformers: Age of Extinction;Mark Wahlberg;Stanley Tucci;Kelsey Grammer;Nicola Peltz;Jack Reynor;Titus Welliver;Sophia Myles;Li Bingbing;T.J. Miller;James Bachman
The Amazing Spider-Man 2;Andrew Garfield;Emma Stone;Jamie Foxx;Dane DeHaan;Campbell Scott;Embeth Davidtz;Colm Feore;Paul Giamatti;Sally Field;Max Charles
TRON: Legacy;Garrett Hedlund;Jeff Bridges;Olivia Wilde;Bruce Boxleitner;Yaya DaCosta;Serinda Swan;Beau Garrett;Elizabeth Mathis;James Frain;Amy Esterle
Cars 2;Owen Wilson;Larry the Cable Guy;Michael Caine;Emily Mortimer;John Turturro;Eddie Izzard;Thomas Kretschmann;Joe Mantegna;Peter Jacobson;Bruce Campbell
Green Lantern;Ryan Reynolds;Blake Lively;Peter Sarsgaard;Tim Robbins;Mark Strong;Temuera Morrison;Jenna Craig;Jon Tenney;Mike Doyle;NicK Jandl
Toy Story 3;Tom Hanks;Tim Allen;Ned Beatty;Joan Cusack;Michael Keaton;Whoopi Goldberg;Bonnie Hunt;Wallace Shawn;John Ratzenberger;Don Rickles
Terminator Salvation;Christian Bale;Sam Worthington;Anton Yelchin;Moon Bloodgood;Bryce Dallas Howard;Helena Bonham Carter;Common;Roland Kickinger;Michael Ironside;Jane Alexander
Furious 7;Vin Diesel;Paul Walker;Dwayne Johnson;Michelle Rodriguez;Tyrese Gibson;Ludacris;Jordana Brewster;Djimon Hounsou;Tony Jaa;Ronda Rousey
World War Z;Brad Pitt;Mireille Enos;Abigail Hargrove;Sterling Jerins;James Badge Dale;Elyes Gabel;David Andrews;Daniella Kertesz;Ludi Boeken;Fana Mokoena
X-Men: Days of Future Past;Hugh Jackman;James McAvoy;Michael Fassbender;Jennifer Lawrence;Halle Berry;Anna Paquin;Ellen Page;Peter Dinklage;Ian McKellen;Patrick Stewart
Star Trek Into Darkness;Chris Pine;Zachary Quinto;Zoe Saldana;Karl Urban;Simon Pegg;John Cho;Benedict Cumberbatch;Anton Yelchin;Bruce Greenwood;Peter Weller
Jack the Giant Slayer;Nicholas Hoult;Eleanor Tomlinson;Ewan McGregor;Stanley Tucci;Ian McShane;Eddie Marsan;Ewen Bremner;Warwick Davis;Bill Nighy;Ralph Brown
The Great Gatsby;Leonardo DiCaprio;Tobey Maguire;Carey Mulligan;Joel Edgerton;Elizabeth Debicki;Isla Fisher;Jason Clarke;Amitabh Bachchan;Callan McAuliffe;Adelaide Clemens
Prince of Persia: The Sands of Time;Jake Gyllenhaal;Gemma Arterton;Ben Kingsley;Alfred Molina;Steve Toussaint;Toby Kebbell;Richard Coyle;Ronald Pickup;Reece Ritchie;Claudio Pacifico
Pacific Rim;Idris Elba;Charlie Hunnam;Charlie Day;Ron Perlman;Burn Gorman;Rinko Kikuchi;Max Martini;Robert Maillet;Robert Kazinsky;Larry Joe Campbell
Transformers: Dark of the Moon;Shia LaBeouf;John Malkovich;Ken Jeong;Frances McDormand;Josh Duhamel;Tyrese Gibson;Hugo Weaving;Leonard Nimoy;John Turturro;Rosie Huntington-Whiteley
Indiana Jones and the Kingdom of the Crystal Skull;Harrison Ford;Cate Blanchett;Shia LaBeouf;Ray Winstone;Karen Allen;John Hurt;Jim Broadbent;Andrew Divoff;Igor Jijikine;Pavel Lychnikoff
Brave;Kelly Macdonald;Julie Walters;Billy Connolly;Emma Thompson;Kevin McKidd;Craig Ferguson;Robbie Coltrane;Peigi Barker;Steven Cree;Steve Purcell
Star Trek Beyond;Chris Pine;Zachary Quinto;Karl Urban;Simon Pegg;Zoe Saldana;John Cho;Anton Yelchin;Sofia Boutella;Idris Elba;Joe Taslim
WALL·E;Ben Burtt;Elissa Knight;Jeff Garlin;Fred Willard;John Ratzenberger;Kathy Najimy;Teresa Ganzel;Laraine Newman;MacInTalk;Teddy Newton
Rush Hour 3;Chris Tucker;Jackie Chan;Hiroyuki Sanada;Max von Sydow;Yvan Attal;Roman Polanski;Zhang Jingchu;Philip Baker Hall;Sarah Shahi;Youki Kudoh
2012;John Cusack;Amanda Peet;Chiwetel Ejiofor;Thandie Newton;Oliver Platt;Tom McCarthy;Woody Harrelson;Danny Glover;Liam James;Morgan Lily
A Christmas Carol;Gary Oldman;Jim Carrey;Steve Valentine;Daryl Sabara;Sage Ryan;Amber Gainey Meade;Ryan Ochoa;Bobbi Page;Ron Bottitta;Sammi Hanratty
Jupiter Ascending;Mila Kunis;Channing Tatum;Sean Bean;Eddie Redmayne;Douglas Booth;Tuppence Middleton;Gugu Mbatha-Raw;Nikki Amuka-Bird;Christina Cole;Nicholas A. Newman
The Legend of Tarzan;Margot Robbie;Christoph Waltz;Samuel L. Jackson;Djimon Hounsou;Jim Broadbent;Casper Crump;Yule Masiteng;Ben Chaplin;Sidney Ralitsoele;Simon Russell Beale
The Chronicles of Narnia: The Lion, the Witch and the Wardrobe;William Moseley;Anna Popplewell;Skandar Keynes;Georgie Henley;Liam Neeson;Tilda Swinton;James McAvoy;Jim Broadbent;Kiran Shah;James Cosmo
X-Men: Apocalypse;James McAvoy;Michael Fassbender;Jennifer Lawrence;Nicholas Hoult;Oscar Isaac;Rose Byrne;Evan Peters;Josh Helman;Sophie Turner;Tye Sheridan
The Dark Knight;Christian Bale;Heath Ledger;Aaron Eckhart;Michael Caine;Maggie Gyllenhaal;Gary Oldman;Morgan Freeman;Monique Gabriela Curnen;Ron Dean;Cillian Murphy
Up;Ed Asner;Christopher Plummer;Jordan Nagai;Bob Peterson;Delroy Lindo;Jerome Ranft;John Ratzenberger;David Kaye;Elie Docter;Jeremy Leary
Iron Man;Robert Downey Jr.;Terrence Howard;Jeff Bridges;Shaun Toub;Gwyneth Paltrow;Faran Tahir;Paul Bettany;Leslie Bibb;Clark Gregg;Will Lyman
Hugo;Ben Kingsley;Sacha Baron Cohen;Asa Butterfield;Ray Winstone;Emily Mortimer;Christopher Lee;Helen McCrory;Michael Stuhlbarg;Frances de la Tour;Richard Griffiths
